date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:00	29468/29468	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:00%20GMT	https://www.asb.com/digital/online-account-opening	C:/My%20Web%20Sites/asb/www.asb.com/digital/online-account-opening.html	(from https://www.asb.com/)
14:48:00	28699/28699	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:01%20GMT	https://www.asb.com/digital/telephone-banking	C:/My%20Web%20Sites/asb/www.asb.com/digital/telephone-banking.html	(from https://www.asb.com/)
14:48:01	34624/34624	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:01%20GMT	https://www.asb.com/digital/online-banking-security-tips	C:/My%20Web%20Sites/asb/www.asb.com/digital/online-banking-security-tips.html	(from https://www.asb.com/)
14:48:01	19832/19832	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:01%20GMT	https://www.asb.com/digital/zelle	C:/My%20Web%20Sites/asb/www.asb.com/digital/zelle.html	(from https://www.asb.com/)
14:48:01	29189/29189	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:02%20GMT	https://www.asb.com/investor-relations/steele-bancshares-inc	C:/My%20Web%20Sites/asb/www.asb.com/investor-relations/steele-bancshares-inc.html	(from https://www.asb.com/)
14:48:02	23432/23432	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:02%20GMT	https://www.asb.com/investor-relations/american-state-bank-mahomes-partnership	C:/My%20Web%20Sites/asb/www.asb.com/investor-relations/american-state-bank-mahomes-partnership.html	(from https://www.asb.com/)
14:48:02	29133/29133	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:03%20GMT	https://www.asb.com/investor-relations/mahomes-nominated-for-walter-payton-nfl-man-of-the-year	C:/My%20Web%20Sites/asb/www.asb.com/investor-relations/mahomes-nominated-for-walter-payton-nfl-man-of-the-year.html	(from https://www.asb.com/)
14:48:02	30403/30403	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:03%20GMT	https://www.asb.com/about/our-story	C:/My%20Web%20Sites/asb/www.asb.com/about/our-story.html	(from https://www.asb.com/)
14:48:03	31797/31797	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:03%20GMT	https://www.asb.com/about/careers	C:/My%20Web%20Sites/asb/www.asb.com/about/careers.html	(from https://www.asb.com/)
14:48:03	26398/26398	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:04%20GMT	https://www.asb.com/about/locations-and-atms	C:/My%20Web%20Sites/asb/www.asb.com/about/locations-and-atms.html	(from https://www.asb.com/)
